861777	华晨宇
5771	许嵩
1197168	徐秉龙
12002248	沈以诚
32220939	en
12448205	永彬Ryan.B
3685	林宥嘉
31668975	Lambert
12904290	王恩信Est
12084229	焦迈奇
5538	汪苏泷
30284835	枯木逢春
32399227	王巨星
13608761	尚士达
6460	张学友
29392693	解忧邵帅
12085016	接个吻，开一枪
12084497	宝石Gem
2843	郭顶
6066	杨宗纬
6472	张杰
12136078	葛东琪
33191836	cv初恋
6457	张国荣
6731	赵雷
4393	李代沫
13058503	尤长靖
29069586	王小帅
27868624	KnowKnow
30616479	小咪
5346	王力宏
12121264	Ice Paper
12493781	Lil Ghost小鬼
1083118	王嘉尔
6462	张敬轩
1199064	福克斯
28602303	陈阳
31255686	巧乐兹
5770	许巍
6452	周杰伦
3691	刘德华
12091048	王泽科
12788674	刘聪KEY.L
4721	朴树
6469	张宇
1030001	周深
6479	周柏豪
31253654	井胧
784257	Jony J
12570153	浪子康
31093891	阿虾
28304831	吕口口
13906123	张紫豪
12268138	Todd Li
3699	李克勤
1058228	陈鸿宇
4723	潘玮柏
12287118	Ayo97
12538467	千里狗
980025	周兴哲
13609637	马良
865007	法老
12286700	虎二
12205044	新旭
6453	张震岳
13447522	Zic子晨
12236125	王以太
12027122	G2er
1142042	徐梦圆
1203045	艾热 AIR
4080	刘心
1132127	萧忆情Alex
826336	马雨阳
3066	胡彦斌
6652	周传雄
6456	周华健
5205	谭咏麟
13899303	杨和苏KeyNG
5001	简弘亦
5196	陶喆
12699514	张小伙
187229	吴青峰
2112	陈小春
14420803	陈雪燃
5768	萧敬腾
31093298	阿'Quan
5929	徐良
13933117	陈泫孝（大泫）
12227290	BigYear大年
981141	伦桑
12429072	隔壁老樊
5781	薛之谦
4292	李荣浩
33435854	要不要买菜
3684	林俊杰
2116	陈奕迅
30116848	阿冗
31876221	柏松
31376161	颜人中
12138269	毛不易
9621	王菲
12025552	双笙
12023202	赵方婧
29999237	丫蛋蛋
8926	莫文蔚
10204	杨千嬅
12382970	陈雪凝
9255	任然
31802946	程佳佳
32208979	Uu
12292708	周思涵
